,_0_14eves,_15_18eves,_19_30eves,_31_62eves,_63_Xeves,kerulet,nepesseg,nmar,telepules,x,y
6101,13,1,14,43,13,,84,280.0,Mosonmagyaróvár,515800.0,282200.0
6102,1,0,0,5,6,,12,280.0,Mosonmagyaróvár,515800.0,282400.0
6103,6,2,4,16,3,,31,280.0,Mosonmagyaróvár,515800.0,282500.0
6104,2,0,2,4,1,,9,280.0,Mosonmagyaróvár,515800.0,282600.0
6105,6,3,19,44,5,,77,280.0,Mosonmagyaróvár,515800.0,282700.0
6106,0,0,0,2,0,,2,280.0,Mosonmagyaróvár,515800.0,282800.0
6107,2,1,0,8,2,,13,280.0,Mosonmagyaróvár,515900.0,282200.0
6108,0,0,0,2,2,,4,280.0,Mosonmagyaróvár,515900.0,282500.0
6109,3,0,1,9,5,,18,270.0,Mosonmagyaróvár,515900.0,282600.0
6110,11,4,11,27,8,,61,270.0,Mosonmagyaróvár,515900.0,282700.0
6111,3,0,9,14,3,,29,270.0,Mosonmagyaróvár,515900.0,282800.0
6112,0,0,0,1,0,,1,280.0,Mosonmagyaróvár,515900.0,284300.0
6113,0,0,0,0,1,,1,260.0,Mosonmagyaróvár,516000.0,282100.0
6114,6,0,9,20,10,,45,260.0,Mosonmagyaróvár,516000.0,282200.0
6115,1,0,8,11,8,,28,260.0,Mosonmagyaróvár,516000.0,282300.0
6116,1,0,1,2,0,,4,280.0,Mosonmagyaróvár,516000.0,282400.0
6117,4,1,4,9,13,,31,270.0,Mosonmagyaróvár,516000.0,282700.0
6118,2,0,2,3,1,,8,270.0,Mosonmagyaróvár,516000.0,282800.0
6119,3,1,7,22,12,,45,270.0,Mosonmagyaróvár,516000.0,282900.0
6120,0,0,1,0,0,,1,280.0,Mosonmagyaróvár,516100.0,280100.0
6121,0,0,0,2,2,,4,250.0,Mosonmagyaróvár,516100.0,280900.0
6122,2,0,0,3,1,,6,240.0,Mosonmagyaróvár,516100.0,281300.0
6123,0,1,1,2,4,,8,200.0,Mosonmagyaróvár,516100.0,281400.0
6124,0,0,0,4,4,,8,200.0,Mosonmagyaróvár,516100.0,281500.0
